file,tool_use,empty_inputs,per_tool_breakdown
pipeline-out-req_1759909356203_blk6ija0s.json,1,0,update_plan: count=1, empty=0, keys=[plan(1)]
pipeline-out-req_1759909363665_tlb1dm12k.json,1,0,shell: count=1, empty=0, keys=[(llmswitch|switch|provider|tool),command,workdir(1)]
pipeline-out-req_1759909386553_bbaah3g1z.json,1,0,shell: count=1, empty=0, keys=[command(1)]
pipeline-out-req_1759909390398_sms2hxmow.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759909393633_f50cpi81x.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759909396371_4xsjnklho.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759909406591_5pavx42bf.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759909410863_j4g8qlpu8.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759909416164_juzuzn2hf.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759909421509_g7as81vdy.json,1,0,update_plan: count=1, empty=0, keys=[plan(1)]
pipeline-out-req_1759909429983_t3ei20d1k.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759909441879_z38akf113.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759909449023_87t7hcuac.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759909454519_lxpznklnb.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759909458671_6mymldibs.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759909462057_p2bd3v47e.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759909475329_enogegonp.json,1,0,update_plan: count=1, empty=0, keys=[plan(1)]
pipeline-out-req_1759909482935_dpy07a17g.json,1,0,update_plan: count=1, empty=0, keys=[plan(1)]
pipeline-out-req_1759934198353_1lxp1u89j.json,1,0,update_plan: count=1, empty=0, keys=[plan(1)]
pipeline-out-req_1759934209166_o7byxe5kq.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759934217241_icbb1rsi1.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759934223238_sw3esnfui.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759934229731_z42c4uqr7.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759934237621_zuuubscfb.json,1,0,update_plan: count=1, empty=0, keys=[plan(1)]
pipeline-out-req_1759934242437_gscq5zvqc.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759934248596_ig559jzy2.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759934251604_zhr3bgkvs.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759934254686_398n50mzz.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759934261318_s38cl5hrv.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759934264638_g9mju7nj9.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
